Conf,Conf Abb,Expenses Title,FBS Conference,FBS Conference Labels,Ipeds Id,Make Money?,NCAA Subdivision,Profits Title,Revenues Title,School,School Abb,School | Conf SAA,School | Conf SAA (copy),Schools | SA,Schools | SA Shapes,Total Profit (bin),Year,% of Revenue from Athletics,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities","Annual Debt Service, Leases and Rental Fees on Athletic Facilities Expense",Athletic Student Aid,Athletic Student Aid Expense,Athletics Related Debt,Athletics Related Debt Expense,Coaches Compensation,Competition Guarantees - Paid,Competition Guarantees - Paid Out,Competition Guarantees - Paid Out Expense,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Excess Transfers Back,Excess Transfers Back Expense,Expenses | 2017,Expenses | 2017 YoY,Expenses | 2017 YoY ▲,Expenses | 2017 YoY ▼,Facilities and Equipment,Facilities and Equipment Expense,Game Expenses and Travel,Game Expenses and Travel Expense,Institutional/Government Support,Medical,Medical Expense,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Number of Records,Other Expenses,Other Expenses Expense,Other Revenue,Profit | 2017,Profit | 2017 YoY,Profit | 2017 YoY ▲,Profit | 2017 YoY ▼,Recruiting,Recruiting Expense ,Revenues | 2017,Revenues | 2017 YoY,Revenues | 2017 YoY ▲,Revenues | 2017 YoY ▼,Student Fees,SUM(1),Support and Admin Compensation w/Severance,Support and Admin Compensation w/Severance Expense,Ticket Sales,Total Academic Spending (University-Wide),Total Expenses,Total Expenses Expense,Total Expenses Line Dot,Total Football Coaching Salaries,Total Football Coaching Salaries Expense,Total Football Spending,Total Football Spending Expense,Total Profit,Total Profit Line Dot,Total Revenues,Total Revenues Line Dot,Year | ACC,Year | B10,Year | B12,Year | B12 (copy 2)
False,B10,Expenses,Big Ten Conference,B10,151351,Made Money,Football Bowl Subdivision,Profits,Revenues,Indiana University-Bloomington,IND,,,,► B10,0K,2017,0.681301116,6863227,-6863227,15866381,-15866381,118230000,-118230000,18695723,927534,4286983,-4286983,10594357,23103658,0,0,,,,,20276950,-20276950,10757512,-10757512,2569044,1731179,-1731179,42701549,1,10738470,-10738470,8153740,,,,,1780015,-1780015,,,,,0,1,21998606,-21998606,18089310,1231669547,106131819,-106131819,,6618842,-6618842,26003418,-26003418,7373,,106139192,,,2017,,2
False,B12,Expenses,Big 12 Conference,B12,153603,Made Money,Football Bowl Subdivision,Profits,Revenues,Iowa State University,ISU,,,,► B12,0K,2017,0.691780977,10066085,-10066085,8868945,-8868945,87571532,-87571532,13472170,187249,1884782,-1884782,2320161,17551225,0,0,,,,,23819392,-23819392,7638612,-7638612,0,738255,-738255,40414631,1,11656728,-11656728,5792770,,,,,1836643,-1836643,,,,,2133219,1,12649649,-12649649,14260192,974019240,82565176,-82565176,,5591140,-5591140,20352821,-20352821,94271,,82659447,,,,2017,1
False,B12,Expenses,Big 12 Conference,B12,155399,Made Money,Football Bowl Subdivision,Profits,Revenues,Kansas State University,KSU,,,,► B12,12000K,2017,0.682465929,5795504,-5795504,8624643,-8624643,72186979,-72186979,15480003,26477,2124406,-2124406,2318512,22154333,0,0,,,,,12121411,-12121411,10037971,-10037971,0,1033033,-1033033,41128657,1,10363471,-10363471,4729485,,,,,1356416,-1356416,,,,,450000,1,12829000,-12829000,15274064,684160400,73970354,-73970354,,7260004,-7260004,19920373,-19920373,12111174,,86081528,,,,2017,1
False,MAC,Expenses,Mid-American Conference,MAC,203517,Lost Money,Football Bowl Subdivision,Profits,Revenues,Kent State University,KENT,,,,► MAC,-2000K,2017,0.263839986,0,0,6822434,-6822434,0,0,6240237,2300818,944785,-944785,721697,1389618,0,0,,,,,2854650,-2854650,3633485,-3633485,3989665,274362,-274362,3670825,1,3364888,-3364888,1181712,,,,,471844,-471844,,,,,14668174,1,4897363,-4897363,915201,506194910,29504048,-29504048,,1600748,-1600748,6309368,-6309368,-666338,,28837710,,,,,2
False,SEC,Expenses,Southeastern Conference,SEC,159391,Made Money,Football Bowl Subdivision,Profits,Revenues,Louisiana State University and Agricultural & Mechanical College,LSU,,,,► SEC,16000K,2017,0.682933628,15329531,-15329531,15665085,-15665085,255413311,-255413311,25370481,2264500,3782794,-3782794,3299132,36973785,7421596,-7421596,,,,,28813867,-28813867,14615725,-14615725,0,962268,-962268,53480837,1,21370126,-21370126,9870943,,,,,1875822,-1875822,,,,,0,1,19261253,-19261253,41855036,931720932,139139017,-139139017,,11842483,-11842483,30086567,-30086567,16026812,,147744233,,,,,2
False,CUSA,Expenses,Conference USA,CUSA,159647,Made Money,Football Bowl Subdivision,Profits,Revenues,Louisiana Tech University,LT,,,,► CUSA,0K,2017,0.315986303,604384,-604384,6663599,-6663599,8360000,-8360000,4675036,1949500,1082583,-1082583,223841,5992599,0,0,,,,,4108385,-4108385,2987286,-2987286,10687030,385289,-385289,3976892,1,1426589,-1426589,231033,,,,,335854,-335854,,,,,0,1,2163860,-2163860,1661800,131349413,23828481,-23828481,,2016625,-2016625,8075697,-8075697,894214,,24722695,,,,,2
False,CUSA,Expenses,Conference USA,CUSA,237525,Lost Money,Football Bowl Subdivision,Profits,Revenues,Marshall University,MRSH,,,,► CUSA,-2000K,2017,0.318254348,1173149,-1173149,7353366,-7353366,11748669,-11748669,4918623,663657,979420,-979420,303428,3652264,0,0,,,,,4298848,-4298848,4135769,-4135769,8078014,910401,-910401,4466100,1,2951294,-2951294,1968668,,,,,509452,-509452,,,,,6267660,1,4285075,-4285075,3887680,242739085,30342248,-30342248,,2333060,-2333060,8912287,-8912287,-1054777,,29287471,,,,,2
False,MAC,Expenses,Mid-American Conference,MAC,204024,Made Money,Football Bowl Subdivision,Profits,Revenues,Miami University,M-OH,,,,► MAC,0K,2017,0.216506002,2135752,-2135752,11299454,-11299454,15797026,-15797026,6542331,1169000,809113,-809113,1008208,2594400,0,0,,,,,3689320,-3689320,3559494,-3559494,7323163,558769,-558769,4856034,1,3823275,-3823275,2301344,,,,,596144,-596144,,,,,17370800,1,5219943,-5219943,1143399,424647164,36097843,-36097843,,2183413,-2183413,9348845,-9348845,1668505,,37766348,,,,,2
False,B10,Expenses,Big Ten Conference,B10,171100,Made Money,Football Bowl Subdivision,Profits,Revenues,Michigan State University,MSU,,,,► B10,8000K,2017,0.655561635,14915000,-14915000,15090350,-15090350,90735854,-90735854,20930050,839536,3568966,-3568966,15853798,32363526,0,0,,,,,31971789,-31971789,12549159,-12549159,901057,1209973,-1209973,39118981,1,12479180,-12479180,10142014,,,,,1732418,-1732418,,,,,0,1,17974387,-17974387,26802465,1821943003,117506272,-117506272,,8368300,-8368300,29910359,-29910359,8515105,,126021377,,,2017,,2
False,CUSA,Expenses,Conference USA,CUSA,220978,Lost Money,Football Bowl Subdivision,Profits,Revenues,Middle Tennessee State University,MTSU,,,,► CUSA,0K,2017,0.268760201,998594,-998594,8920117,-8920117,12708267,-12708267,5844226,1353000,244400,-244400,1948575,2083814,0,0,,,,,5229373,-5229373,4932978,-4932978,15677328,451017,-451017,4413016,1,3721130,-3721130,431035,,,,,525423,-525423,,,,,6699470,1,4171670,-4171670,1434096,329771835,34040334,-34040334,,2316250,-2316250,10923170,-10923170,0,,34040334,,,,,2
